epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.01666,0,15.5399,0,0,0,0,0,0,10.9546,0,0,0,0
2,2.00493,0,15.5286,0,0,0,0,0,0,10.9593,0,1.20875e-05,1.20875e-05,1.20875e-05
3,2.80907,0,15.5183,0,0,0,0,0,0,10.963,0,2.335e-05,2.335e-05,2.335e-05
4,3.72289,0,15.5048,0,0,0,0,0,0,10.9668,0,3.37875e-05,3.37875e-05,3.37875e-05
5,4.56727,0,15.4109,0,0,0,0,0,0,10.97,0,4.34e-05,4.34e-05,4.34e-05
6,5.38089,0,15.388,0,0,0,0,0,0,10.9721,0,5.21875e-05,5.21875e-05,5.21875e-05
7,6.29584,0,15.2776,0,0,0,0,0,0,10.9739,0,6.015e-05,6.015e-05,6.015e-05
8,7.28841,0,15.2537,0,0,0,0,0,0,10.9756,0,6.72875e-05,6.72875e-05,6.72875e-05
9,8.25757,0,15.2081,0,0,0,0,0,0,10.9778,0,7.36e-05,7.36e-05,7.36e-05
10,9.15483,0,15.1563,0,0,0,0,0,0,10.9809,0,7.90875e-05,7.90875e-05,7.90875e-05
11,10.0654,0,15.0816,0,0,0,0,0,0,10.983,0,8.375e-05,8.375e-05,8.375e-05
12,11.0182,0,15.0387,0,0,0,0,0,0,10.9848,0,8.75875e-05,8.75875e-05,8.75875e-05
13,11.9337,0,14.9806,0,0,0,0,0,0,10.9862,0,9.06e-05,9.06e-05,9.06e-05
14,12.8177,0,14.9056,0,0,0,0,0,0,10.9873,0,9.27875e-05,9.27875e-05,9.27875e-05
15,13.7693,0,14.8971,0,0,0,0,0,0,10.9877,0,9.415e-05,9.415e-05,9.415e-05
16,14.7084,0,14.8509,0,0,0,0,0,0,10.9881,0,9.46875e-05,9.46875e-05,9.46875e-05
17,15.6089,0,14.7764,0,0,0,0,0,0,10.9875,0,9.44e-05,9.44e-05,9.44e-05
18,16.5012,0,14.7116,0,0,0,0,0,0,10.9875,0,9.32875e-05,9.32875e-05,9.32875e-05
19,17.5144,0,14.704,0,0,0,0,0,0,10.9887,0,9.135e-05,9.135e-05,9.135e-05
20,18.5939,0,14.6795,0,0,0,0,0,0,10.9887,0,8.85875e-05,8.85875e-05,8.85875e-05
21,19.5291,0,14.7245,0,0,0,0,0,0,10.9906,0,8.5e-05,8.5e-05,8.5e-05
22,20.4681,0,14.603,0,0,0,0,0,0,10.9906,0,8.05875e-05,8.05875e-05,8.05875e-05
23,20.3686,0,14.6445,0,0,0,0,0,0,10.993,0,7.535e-05,7.535e-05,7.535e-05
24,21.3285,0,14.5676,0,0,0,0,0,0,10.993,0,6.92875e-05,6.92875e-05,6.92875e-05
25,22.2681,0,14.5928,0,0,0,0,0,0,10.9959,0,6.24e-05,6.24e-05,6.24e-05
26,23.2512,0,14.5374,0,0,0,0,0,0,10.9959,0,5.46875e-05,5.46875e-05,5.46875e-05
27,24.1975,0,14.5201,0,0,0,0,0,0,10.9979,0,4.615e-05,4.615e-05,4.615e-05
28,24.981,0,14.4875,0,0,0,0,0,0,10.9979,0,3.67875e-05,3.67875e-05,3.67875e-05
29,25.8032,0,14.5213,0,0,0,0,0,0,11.0008,0,2.66e-05,2.66e-05,2.66e-05
30,26.8073,0,14.4786,0,0,0,0,0,0,11.0008,0,1.55875e-05,1.55875e-05,1.55875e-05
