epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.81,0,35.7074,0,0,0,0,0,0,38.1799,0,0.000472118,0.000472118,0.000472118
2,440.736,0,23.5267,0,0,0,0,0,0,25.4856,0,0.000854555,0.000854555,0.000854555
3,689.7,0,13.2554,0,0,0,0,0,0,12.0399,0,0.00114268,0.00114268,0.00114268
4,973.606,0,6.3923,0,0,0,0,0,0,5.5743,0,0.00100459,0.00100459,0.00100459
5,1227.66,0,2.87456,0,0,0,0,0,0,2.70167,0,0.000863116,0.000863116,0.000863116
6,1461.96,0,1.34716,0,0,0,0,0,0,1.2995,0,0.000721645,0.000721645,0.000721645
7,1698.16,0,0.69321,0,0,0,0,0,0,0.71565,0,0.000580174,0.000580174,0.000580174
8,1950.14,0,0.40007,0,0,0,0,0,0,0.44834,0,0.000438703,0.000438703,0.000438703
9,2179.27,0,0.25984,0,0,0,0,0,0,0.3124,0,0.000297232,0.000297232,0.000297232
10,2459.48,0,0.20107,0,0,0,0,0,0,0.27036,0,0.000155761,0.000155761,0.000155761
